longitude	station	latitude	revision	location	code
-2.58736	Arbroath	56.56317	2022/03/13	Europe/London	GB
99.95469	Damnoen Saduak	13.51825	2016/10/06	Asia/Bangkok	TH
136.84186	Toba	34.4833	06 Oct 2017	Asia/Tokyo	JP
27.46153	Tonota	-21.44236	2017-04-11	Africa/Gaborone	BW
9.02596	Albstadt	48.21644	2019/07/16	Europe/Berlin	DE
-8.07257	Kati	12.74409	21 Apr 2016	Africa/Bamako	ML
9.85	Halstenbek	53.63333	2024-11-07	Europe/Berlin	DE
24.14662	Tornio	65.84811	10 Sep 2019	Europe/Helsinki	FI
99.95469	Damnoen Saduak	13.51825	01/20/2025, 00:00:00	Asia/Bangkok	TH
151.08057	Eastwood	-33.79176	05 Dec 2018	Australia/Sydney	AU
8.55552	Sassari	40.72586	25 May 2018	Europe/Rome	IT
7.973	Finnentrop	51.168	2017/10/17	Europe/Berlin	DE
110.8405	Kudus	-6.8048	05/30/2021, 00:00:00	Asia/Jakarta	ID
51.49621	Nowshahr	36.64852	2025/01/04	Asia/Tehran	IR
137.23333	Gero	35.8	05/11/2022, 00:00:00	Asia/Tokyo	JP
99.95469	Damnoen Saduak	13.51825	2022/08/17	Asia/Bangkok	TH
-122.86705	Aloha	45.49428	04/29/2019, 00:00:00	America/Los_Angeles	US
59.6	Shalqar	47.83333	2025-07-10	Asia/Aqtobe	KZ
-111.90466	Saratoga Springs	40.34912	03/23/2022, 00:00:00	America/Denver	US
4.18333	Olupona	7.6	07/25/2016, 00:00:00	Africa/Lagos	NG
-75.23266	Utica	43.1009	07/23/2017, 00:00:00	America/New_York	US
-87.88754	Bourbonnais	41.15376	11/25/2020, 00:00:00	America/Chicago	US
86.51499	Kenda	23.1959	14 Nov 2023	Asia/Kolkata	IN
-40.7475	Guaraciaba do Norte	-4.16694	2024/06/12	America/Fortaleza	BR
122.20488	Zhoushan	29.98869	2019/03/26	Asia/Shanghai	CN
75.06583	Fazilpur	32.17629	17 May 2023	Asia/Karachi	PK
130.57211	Boli	45.75279	2016/07/21	Asia/Shanghai	CN
-1.60452	Tudela	42.06166	2024/05/01	Europe/Madrid	ES
-50.19556	Iturama	-19.72806	08 Dec 2024	America/Sao_Paulo	BR
14.72443	Ragusa	36.92574	03/29/2022, 00:00:00	Europe/Rome	IT
-79.62098	Chilibre	9.15093	06/01/2016, 00:00:00	America/Panama	PA
139.55722	Okegawa	36	27 Jan 2024	Asia/Tokyo	JP
-71.29144	Middletown	41.54566	2019/03/16	America/New_York	US
9.02596	Albstadt	48.21644	29 Dec 2018	Europe/Berlin	DE
-71.8023	Fitchburg	42.58342	21 Dec 2023	America/New_York	US
22.53083	Negotin	44.22639	25 Jun 2020	Europe/Belgrade	RS
30.96755	Zvenihorodka	49.07866	2024-08-08	Europe/Kyiv	UA
91.00632	Barpeta	26.32293	2020/03/30	Asia/Kolkata	IN
-73.25383	Iquitos	-3.74912	11/01/2023, 00:00:00	America/Lima	PE
111.4834	Aykhal	65.93381	2022-10-30	Asia/Yakutsk	RU
8.96317	Hechingen	48.35149	12/14/2018, 00:00:00	Europe/Berlin	DE
-0.29825	Surbiton	51.39148	10/10/2019, 00:00:00	Europe/London	GB
-89.64066	Pekin	40.56754	01/19/2024, 00:00:00	America/Chicago	US
81.54855	Jais	26.2649	07 Nov 2023	Asia/Kolkata	IN
29.26639	Serinhisar	37.58105	2022-07-28	Europe/Istanbul	TR
8.77069	Marburg an der Lahn	50.80904	2019-06-04	Europe/Berlin	DE
10.98461	Friedberg	48.35693	2021/10/03	Europe/Berlin	DE
-39.25	Muritiba	-12.91667	06/28/2017, 00:00:00	America/Bahia	BR
-87.88754	Bourbonnais	41.15376	2022-11-25	America/Chicago	US
123.89071	Cebu City	10.31672	2020/12/07	Asia/Manila	PH
130.94098	Hita	33.3213	12/09/2015, 00:00:00	Asia/Tokyo	JP
137.36215	Namerikawa	36.75965	04/20/2019, 00:00:00	Asia/Tokyo	JP
-0.33525	Kingston upon Hull	53.7446	2019/12/30	Europe/London	GB
59.80222	Lesnoy	58.63667	10/24/2019, 00:00:00	Asia/Yekaterinburg	RU
46.04833	Privolzhskiy	51.40944	12/27/2016, 00:00:00	Europe/Saratov	RU
78.55757	Lal Bahadur Nagar	17.34769	2023-11-06	Asia/Kolkata	IN
-105.36369	Acaponeta	22.49396	2019-12-15	America/Mazatlan	MX
72.68533	Kheda	22.75218	2024/03/01	Asia/Kolkata	IN
-8.07257	Kati	12.74409	2017-07-23	Africa/Bamako	ML
-99.32556	San Lorenzo Acopilco	19.32889	21 Apr 2017	America/Mexico_City	MX
29.24152	Standerton	-26.93366	2020/05/25	Africa/Johannesburg	ZA
-62.64102	Ciudad Guayana	8.35122	2024-02-22	America/Caracas	VE
-73.26022	Socorro	6.46838	01 Jul 2019	America/Bogota	CO
17.8031	Hlohovec	48.43174	2015/10/16	Europe/Bratislava	SK
-89.66123	Progreso	21.28306	17 Oct 2015	America/Merida	MX
-111.99633	Kearns	40.65995	30 Dec 2018	America/Denver	US
